word,imagePath,wavPath
abbacadabby,,
abby,,
ache,,
acorn,,
actor,,
actress,,
admire,,
advertisement,,
affection,,
again,,
airplane,,
aisle,,
aladdin,,
album,,
ale,,
all,,
allergy,,
alligator,,
almond,,
alpaca,,
alphabet,,
altar,,
ambulance,,
amendment,,
america,,
angel,,
Ankle,,
anna,,
ant,,
anteater,,
antenna,,
anthem,,
antibiotic,,
antivirus,,
aphid,,
apostle,,
app,,
apple,,
application,,
appointment,,
apricot,,
april,,
apron,,
aqua,,
aquifer,,
ariel,,
Arm,,
armchair,,
arrow,,
art,,
artichoke,,
asparagus,,
atlantic,,
attic,,
audience,,
august,,
aunt,,
auntie,,
aunty,,
aurora,,
autumn,,
avocado,,
baa,,
baby,,
Back,,
backpack,,
backup,,
bacteria,,
Bad,,
badger,,
Bag,,
bakery,,
bakingtray,,
balcony,,
ball,,
balloon,,
ballot,,
bambi,,
banana,,
band,,
bandage,,
baptism,,
barbecue,,
bark,,
basement,,
basket,,
basketball,,
bass,,
bat,,
Bath,,
bathmat,,
bathrobe,,
bathroom,,
bathtub,,
bauble,,
beach,,
beachball,,
beads,,
bean,,
bear,,
beary,,
beat,,
beaver,,
bed,,
bedroom,,
bee,,
beer,,
beet,,
beetle,,
beige,,
bell,,
belle,,
Belly,,
belt,,
bench,,
bert,,
bible,,
bicycle,,
Big,,
bigbird,,
bike,,
bikini,,
bile,,
bill,,
binge,,
bingo,,
bird,,
birdie,,
birds,,
birdy,,
bite,,
black,,
blackberry,,
blackcat,,
blanket,,
blazer,,
bleach,,
bleat,,
blender,,
blessing,,
blinds,,
blizzard,,
block,,
blood,,
bloodpressure,,
bloom,,
blossom,,
blouse,,
blow,,
blue,,
blueberry,,
bluetooth,,
bluey,,
board,,
boardgame,,
boat,,
boating,,
bodywash,,
boogers,,
book,,
bookshelf,,
boots,,
boss,,
bottle,,
bouquet,,
bow,,
bowl,,
boxers,,
bra,,
branches,,
bray,,
bread,,
breeze,,
breezy,,
briefs,,
broadcast,,
broccoli,,
broke,,
brook,,
broomstick,,
brother,,
brown,,
brownie,,
browser,,
brush,,
bubba,,
bubble,,
bubbles,,
bucket,,
Bug,,
buggy,,
build,,
bulldozer,,
bunny,,
bureaucracy,,
burp,,
bus,,
bush,,
butter,,
butterfly,,
buttons,,
buzz,,
buzzy,,
Bye,,
cabbage,,
cabinet,,
cable,,
cafeteria,,
cake,,
calm,,
camel,,
campaign,,
camping,,
canal,,
canary,,
candidate,,
candy,,
candycane,,
candystick,,
canoe,,
cantaloupe,,
cap,,
cappuccino,,
capybara,,
car,,
caramel,,
card,,
cardboard,,
cardgame,,
carol,,
caroling,,
carpet,,
carrot,,
cars,,
cart,,
cartoon,,
cashew,,
cashier,,
castle,,
cat,,
catch,,
caterpillar,,
cathedral,,
cauldron,,
cauliflower,,
caw,,
ceiling,,
celebrate,,
celebration,,
celery,,
cello,,
celtic,,
centipede,,
cereal,,
